created_at,crate,version,downloads,recent_downloads,repository,description
2026-09-26T13:22:21.35644Z,nololib,0.1.0,0,0,https://gitlab.com/NoloxoYT/nolomesh,A Rust library to call functions across networked devices
2026-09-26T13:25:23.453309Z,structure-session,0.1.0,0,0,,"Session lifecycle, scheduling, and canonical event sequencing"
2026-09-26T13:25:29.792704Z,gantz_rng,0.0.0,0,0,https://github.com/nannou-org/gantz,"Seeded, stateless random numbers for gantz, as a Rust core and a Steel module."
2026-09-26T13:25:50.939257Z,structure-adapters,0.1.0,0,0,,Persistence adapters implementing structure-session's observer/store ports
2026-09-26T13:26:01.685886Z,konomanoasa-tree-sitter-editorconfig,0.4.0,0,0,https://github.com/konomanoasa/tree-sitter-editorconfig,Tree-sitter grammar for EditorConfig.
2026-09-26T13:26:22.827337Z,structure-server,0.1.0,0,0,,HTTP and SSE host for the Structure Command/Event Protocol
2026-09-26T13:26:49.809349Z,arabica,0.1.0,0,0,https://github.com/haowei2000/Structure,"Arabica: the Structure coding agent terminal host - fullscreen TUI chat, ACP for Zed, and one-shot runs"
2026-09-26T13:30:18.085482Z,jh-tencent-api,0.1.0,0,0,,Tencent Cloud API client library and CLI made by Jinhui ZHANG. Currently supports DNSPod DNS records
2026-09-26T13:31:38.83012Z,sim-logic,0.1.0,0,0,https://github.com/lexawhatt/Sim-Logic,A code-first application and logic layer for Sim;Engine
2026-09-26T13:32:59.515312Z,pgfsm-async-worker-sdk,0.1.0,0,0,https://github.com/pgfsm/fsm,Rust worker SDK for the pgfsm Activity Gateway: registers actors and serves invocations over the sidecar gRPC stream.
2026-09-26T13:35:25.555936Z,delarocha,0.1.0,0,0,https://github.com/bokuweb/delarocha,Japanese morphological analyzer (MeCab/Vibrato-compatible tokenizer) in Rust with an optional Zig core
2026-09-26T13:38:09.241239Z,trusty-cli,0.1.0,0,0,,Command-line client for Trustify
2026-09-26T13:40:41.660192Z,transparent-wrapper-derive,0.1.0,0,0,https://github.com/nazar-pc/transparent-wrapper,Implements the derive macro used by `transparent-wrapper` crate
2026-09-26T13:40:44.118656Z,transparent-wrapper,0.1.0,0,0,https://github.com/nazar-pc/transparent-wrapper,"Zero-cost conversions between transparent wrappers and their inner types, usable in const fn"
2026-09-26T13:42:30.23187Z,stainlib,0.1.0,0,0,https://github.com/st44rplatinum/stainlib,Stain deconvolution and normalization for RGB histology images
2026-09-26T13:43:18.420304Z,iced-cube,0.0.1,0,0,https://github.com/sam-ruff/iced-cube,"Themeable application components for the iced GUI library, with Lucide icons"
2026-09-26T13:43:54.610406Z,array-reshape,0.1.1,0,0,https://github.com/nazar-pc/array-reshape,"Reshape arrays by value, by reference and by mutable reference in const fn"
2026-09-26T13:44:07.158699Z,tc_aria,0.1.0,0,0,https://github.com/TomiCheng/tc_block_cipher,"ARIA-128, ARIA-192 and ARIA-256 block ciphers (RFC 5794) with table-based and RustCrypto engines."
2026-09-26T13:44:27.201072Z,tc_block_modes,0.1.0,0,0,https://github.com/TomiCheng/tc_block_cipher,"ECB, CBC, CFB, OFB and CTR block cipher modes of operation for engines implementing the tc_block_cipher traits."
2026-09-26T13:49:55.46974Z,l2s1-llama-sys,0.1.1,0,0,https://github.com/LuticaCANARD/L2S1,Pinned llama.cpp native backend for L2S1
2026-09-26T13:50:04.424167Z,l2s1,0.1.1,0,0,https://github.com/LuticaCANARD/L2S1,Typed decisions from local GGUF chat model logits
2026-09-26T14:08:40.977686Z,crp_diag,0.4.0,0,0,https://github.com/folo-rs/folo,Diagnostic implementation for cargo-release-plan - do not reference directly
2026-09-26T14:08:43.531592Z,crp_workspace,0.4.0,0,0,https://github.com/folo-rs/folo,Workspace implementation for cargo-release-plan - do not reference directly
2026-09-26T14:08:45.964061Z,crp_native,0.4.0,0,0,https://github.com/folo-rs/folo,Native execution for cargo-release-plan - do not reference directly
2026-09-26T14:08:46.755918Z,crp_versioning,0.4.0,0,0,https://github.com/folo-rs/folo,Versioning implementation for cargo-release-plan - do not reference directly
2026-09-26T14:08:49.036418Z,crp_publication,0.4.0,0,0,https://github.com/folo-rs/folo,Publication implementation for cargo-release-plan - do not reference directly
2026-09-26T14:10:41.123579Z,avatar,0.1.0,0,0,https://github.com/opensass/avatar,"👦 A highly customizable avatar component for WASM frameworks like Yew, Dioxus, and Leptos."
2026-09-26T14:11:15.314891Z,guest-host,0.1.0,0,0,https://codeberg.org/nordisk/edda,"The reusable mechanics of hosting an untrusted wasm32 guest: CPU fuel + wall-clock + memory ceilings that refuse by name, a detached-CMS signature gate over the module's blake3 digest, a census by di…"
