created_at,crate,version,downloads,recent_downloads,repository,description
2026-09-26T00:19:22.786192Z,molframe-validate,0.1.0,0,0,https://github.com/miguelcsx/molframe,Geometric and completeness validation for molframe
2026-09-26T00:19:55.533307Z,kithara-warp,0.0.1-alpha5,0,0,https://github.com/zvuk/kithara,"Beat-map geometry, alignment, and warp rendering for Kithara."
2026-09-26T00:28:33.175564Z,corescout-permissions,1.1.0,1,1,https://github.com/mattbusel/corescout,"What CoreScout is allowed to do, and who decided: autonomy modes, authority boundaries, rate limits."
2026-09-26T00:29:20.502547Z,molframe,0.1.0,0,0,https://github.com/miguelcsx/molframe,A batteries-included structural bioinformatics engine
2026-09-26T00:30:13.213307Z,kithara-encode,0.0.1-alpha5,0,0,https://github.com/zvuk/kithara,Portable and native audio encoding with continuous and finite outputs
2026-09-26T00:38:41.431569Z,corescout-capability-runtime,1.1.0,0,0,https://github.com/mattbusel/corescout,"Learned procedures as verified, bounded, reversible capabilities, and the runtime that executes them."
2026-09-26T00:39:24.867888Z,molframe-cli,0.1.0,0,0,https://github.com/miguelcsx/molframe,Command-line interface for molframe
2026-09-26T00:40:14.544812Z,rusty-soar,0.0.1,0,0,https://github.com/suave101/rusty-soar,"A certifiable, zero-GC, `#![no_std]` Rust implementation of the Soar cognitive engine."
2026-09-26T00:40:32.018867Z,kithara-sync,0.0.1-alpha5,0,0,https://github.com/zvuk/kithara,Recursive synchronization-group ownership and control-plane protocol for Kithara.
2026-09-26T00:41:03.921411Z,g3-auth-macros,0.1.0,0,0,https://github.com/g3techhq/g3-auth,Proc macros for g3-auth: `#[public]` and `#[derive(PublicRoutes)]`.
2026-09-26T00:41:07.175554Z,crate-cli,0.2.4,0,0,https://github.com/crates-dev/ctares,"A command-line tool for managing Cargo package lifecycles: version bump, workspace dependency sync, members-ordered publish and code formatting."
2026-09-26T00:41:14.277034Z,g3-auth,0.1.0,0,0,https://github.com/g3techhq/g3-auth,"Session auth for Dioxus fullstack apps on SurrealDB: a deny-by-default guard, #[public] server functions and routes."
2026-09-26T00:41:20.637964Z,g3-cache-macros,0.1.0,0,0,https://github.com/g3techhq/g3-cache,Proc macro support for g3-cache.
2026-09-26T00:41:33.191935Z,g3-cache,0.1.0,0,0,https://github.com/g3techhq/g3-cache,"Client, server and CDN caching for Dioxus fullstack apps, with guards against caching the wrong thing."
2026-09-26T00:44:03.908104Z,execsurface-model,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Raw observation model for AETHER X ExecSurface
2026-09-26T00:47:42.01645Z,tech-oracle,0.2.0,0,0,https://github.com/Mattbusel/tech-oracle,"Self-updating tech-prediction site: fetch free signals, generate dated calls by rules, render a static page."
2026-09-26T00:50:17.132948Z,fuxix,0.1.0,0,0,https://github.com/gold-silver-copper/fux,"The system calls fux makes on Linux, Android and macOS, over libc, each safe to call"
2026-09-26T00:50:49.621013Z,kithara-broadcast,0.0.1-alpha5,0,0,https://github.com/zvuk/kithara,"Live HLS packaging: ADTS framing, segment rotation, and playlist window"
2026-09-26T00:51:05.284927Z,execsurface-observe,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Linux metadata-only observer for AETHER X ExecSurface
2026-09-26T00:51:08.30231Z,execsurface-normalize,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Deterministic canonicalization for AETHER X ExecSurface
2026-09-26T00:51:12.930034Z,execsurface-baseline,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Deterministic baseline lockfile for AETHER X ExecSurface
2026-09-26T00:51:16.30244Z,execsurface-diff,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Deterministic policy-free execution-surface diff engine for AETHER X ExecSurface
2026-09-26T00:55:40.162493Z,execsurface-policy,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Deterministic policy and verdict engine for AETHER X ExecSurface
2026-09-26T00:57:41.391976Z,corescout-identity,1.1.0,0,0,https://github.com/mattbusel/corescout,Computational self-boundary inference from coupling and controllability.
2026-09-26T01:01:08.652425Z,kithara-record,0.0.1-alpha5,0,0,https://github.com/zvuk/kithara,Storage-neutral master recording for Kithara.
2026-09-26T01:04:20.051322Z,execsurface-report,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Human-readable GitHub and CI reporting for AETHER X ExecSurface
2026-09-26T01:07:41.4242Z,corescout-selfmodel,1.1.0,0,0,https://github.com/mattbusel/corescout,"Z(t): prediction, uncertainty and anomaly detection from the reflection alone."
2026-09-26T01:07:45.390845Z,rs-names2stats2protobuf4du,0.1.0,0,0,https://github.com/takanoriyanagitani/rs-names2stats2protobuf4du,Convert file names to disk usage stats in protobuf format
2026-09-26T01:11:28.418129Z,kithara-analysis,0.0.1-alpha5,0,0,https://github.com/zvuk/kithara,Progressive waveform and beat-grid analysis for Kithara.
2026-09-26T01:14:24.662838Z,execsurface,0.1.0-alpha.2,0,0,https://github.com/AETHERXGLOBAL/execsurface,Runtime execution-surface drift detection for Linux CI and developer workflows
2026-09-26T01:17:41.086052Z,corescout-storage,1.1.0,0,0,https://github.com/mattbusel/corescout,"Local-first durable storage: a document store, an event log, and a bounded ring for high-frequency telemetry."
